callsign1,callsign2,time,channel,grid,sat,speed,altitude,temp,azimuth,elevation
AB5SS,1H2BGR,2023-07-03 21:16:00,12,EK27gr,2,5,13660,-5,285.07,49.54
AB5SS,1K2BHS,2023-07-03 21:26:00,12,EK27hs,2,5,13660,0,285.12,47.24
AB5SS,1H2CHS,2023-07-03 21:36:00,12,EK27hs,2,10,13660,-5,285.22,44.94
AB5SS,1K2CHT,2023-07-03 21:46:00,12,EK27ht,2,10,13660,0,285.37,42.64
AB5SS,1K2BHU,2023-07-03 21:56:00,12,EK27hu,2,5,13660,0,285.56,40.34
AB5SS,1K2BHU,2023-07-03 22:06:00,12,EK27hu,2,5,13660,0,285.78,38.05
AB5SS,1N2BIV,2023-07-03 22:16:00,12,EK27iv,2,5,13600,5,286.04,35.76
AB5SS,1K2CIV,2023-07-03 22:26:00,12,EK27iv,2,10,13660,0,286.34,33.47
AB5SS,1K2BIV,2023-07-03 22:36:00,12,EK27iv,2,5,13600,0,286.66,31.19
AB5SS,1K2BJW,2023-07-03 22:46:00,12,EK27jw,2,5,13660,0,287.01,28.91
AB5SS,1K2AJW,2023-07-03 22:56:00,12,EK27jw,2,0,13600,0,287.39,26.63
AB5SS,1E2BJW,2023-07-03 23:06:00,12,EK27jw,2,5,13720,-10,287.8,24.36
AB5SS,1K2BJX,2023-07-03 23:16:00,12,EK27jx,2,5,13660,0,288.23,22.1
AB5SS,1H2CJX,2023-07-03 23:26:00,12,EK27jx,2,10,13660,-5,288.69,19.84
